,SN,0,1,2
440,SDSS-II SN 5468,-9.211829,-71.31777,44.12041
441,SDSS-II SN 5498,-17.088139,-12.709894,-62.83736
442,SDSS-II SN 5590,-37.409504,-20.42726,-61.150265
443,SDSS-II SN 5607,-0.47468403,-24.605732,-6.6348133
444,SDSS-II SN 5810,-7.373361,-3.0374916,-23.307926
445,SDSS-II SN 5890,-64.88034,21.531204,32.78408
446,SDSS-II SN 5959,-63.213604,-28.1605,49.595253
447,SDSS-II SN 5963,-58.72091,-32.488804,1.1584077
448,SDSS-II SN 6055,-86.13455,1.5410826,26.00947
449,SDSS-II SN 6289,-15.050217,-35.519966,16.250612
450,SDSS-II SN 6327,-35.5573,9.435947,31.770605
451,SDSS-II SN 6556,-31.799797,-44.877327,6.026832
452,SDSS-II SN 6560,-48.62226,-26.961912,1.6206397
453,SDSS-II SN 6618,-49.876072,-66.424934,2.1116889
