,SN,0,1,2,3,4
305,SDSS-II SN 17789,24.643543,3.0202076,-6.427141,-7.0702214,-5.0190105
306,SDSS-II SN 17816,16.819677,12.623736,-16.244158,-1.8939545,-8.975482
307,SDSS-II SN 17853,2.1847396,26.528437,7.8826737,0.9667034,-5.957673
308,SDSS-II SN 17894,10.539274,15.332632,8.054463,-9.1146755,-9.466964
309,SDSS-II SN 17906,11.700777,-9.355483,19.385708,-9.121977,-18.623444
310,SDSS-II SN 17928,-0.25552693,25.423471,2.6239605,-17.982643,-4.571527
311,SDSS-II SN 17952,0.9862134,14.473806,-2.7985916,-12.387491,-28.345404
312,SDSS-II SN 17997,-19.4679,18.249462,-16.510305,5.454877,-7.501162
313,SDSS-II SN 18058,-1.5801189,9.849532,5.2149515,-12.951308,-10.469681
314,SDSS-II SN 18067,22.968798,5.214751,1.7512095,-11.623176,-20.561995
315,SDSS-II SN 18075,3.6210673,7.010017,-2.3984468,8.074783,-7.2542896
316,SDSS-II SN 18077,-3.4340045,4.300305,27.885721,-7.6971292,-3.8733282
317,SDSS-II SN 18101,-5.9337387,13.881114,8.090883,-1.8532342,0.22474943
318,SDSS-II SN 1821,-21.573425,1.9230864,-6.824222,-13.147627,-11.304796
319,SDSS-II SN 18226,16.317755,3.6086285,11.223716,-11.135372,-13.458726
320,SDSS-II SN 18243,-9.858375,4.0156913,2.3338768,-9.21426,-28.713331
321,SDSS-II SN 18253,8.01483,27.563023,-7.8084397,3.94316,-1.6871341
322,SDSS-II SN 18273,-7.006238,-1.6708747,4.9909363,-21.796885,-15.382532
323,SDSS-II SN 18276,-19.98822,2.313373,1.4749267,-3.790484,-21.775497
324,SDSS-II SN 18301,-6.4049664,11.21924,-19.050838,-4.4441924,-17.286798
325,SDSS-II SN 18331,-10.429538,9.0754795,10.544285,-11.954874,2.120548
326,SDSS-II SN 18376,25.053762,7.980637,7.455701,-1.9722536,-3.7042382
