,SN,0,1,2,3,4,5,6,7
214,SDSS-II SN 13344,-3.005632,-0.0053541344,-6.7226596,8.4775505,1.8577619,-3.4020472,-3.8478758,-2.643078
215,SDSS-II SN 13395,5.8204846,1.6129762,-6.1633782,8.710753,0.75063384,-1.756446,7.626569,0.24910939
216,SDSS-II SN 13404,-2.800724,6.4728804,-0.148776,-3.4874492,-7.63205,2.8446681,-7.4766383,-1.1970268
217,SDSS-II SN 1342,-5.214918,-0.057448965,2.2082522,1.1141087,-5.4410634,0.039637174,-10.025301,0.23665342
218,SDSS-II SN 13440,0.09266658,0.29552668,-11.86496,4.6904397,-3.0511851,-8.0998335,-0.6924711,5.8536963
219,SDSS-II SN 13441,-2.7761245,-6.8548927,-5.464388,6.5924945,-0.60895234,-4.2617545,0.11361289,-3.3051271
220,SDSS-II SN 13460,0.6811621,2.9519074,-7.8255124,0.89383847,2.4043133,-0.67025644,1.7601529,-4.076088
221,SDSS-II SN 13472,0.5121151,3.0401242,-8.057541,-0.30616614,-3.9814794,-0.18364877,7.5085745,-7.353606
222,SDSS-II SN 13487,-3.4376383,-4.689264,-2.8924718,5.509386,6.6860623,-1.9305068,2.3143468,-3.4340734
223,SDSS-II SN 13492,-4.8972783,-1.1665659,-3.5518167,2.9352794,-4.8351083,5.3275013,-10.065136,-5.9486847
